#ID|手机号|区|商圈|地铁线|房间出租方式|品质|价格区间|室友类别|户型|房源类型|朝向|是否独卫|是否有阳台|是否有空调|搜索关键字|排序方式|上次登录时间
1|15802100557|pudong|龙岩|2|1|2|100,2000|1|1|1|1|1|1|1|龙阳路|1|2016-06-21
1|15802100557|pudong|龙岩|2|1|2|100,2000|1|1|1|1|1|1|2|龙阳路|1|2016-06-21
1|15802100557|pudong|龙岩|4|1|2|100,2000|2|1|1|1|1|1|1|龙阳路|1|2016-06-21
1|15802100558|pudong|龙岩|2|1|1|100,2000|1|1|1|1|2|1|1|浦东市区|1|2016-06-21
1|15802100557|pudong|龙岩|2|1|2|100,2000|1|1|1|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|pudong|龙岩|2|1|1|600,2000|1|1|1|3|1|1|1|龙阳路|1|2016-06-22
1|15802100557|pudong|龙岩|2|1|2|100,2000|1|1|1|1|4|1|1|龙阳路|1|2016-06-21
1|15802100557|pudong|龙岩|4|1|1|100,2000|1|1|1|1|1|2|1|张江|1|2016-06-01
1|15802100557|pudong|龙岩|9|1|2|100,2000|1|1|1|1|1|1|1|龙阳路|1|2016-06-21
1|15802100552|jignan|龙岩|2|2|2|100,2000|1|1|1|1|1|1|1|龙阳路|1|2016-06-23
1|15802100557|pudong|龙岩|2|1|2|1100,2000|2|3|2|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|pudong|龙岩|2|1|2|1100,2000|2|3|2|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|pudong|龙岩|2|1|2|1100,2000|2|3|2|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|pudong|龙岩|2|1|2|1100,2000|2|3|2|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|pudong|龙岩|2|1|2|1100,2000|2|3|2|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|huangpu|龙岩|2|1|2|1100,2000|2|3|2|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|pudong|龙岩|2|1|2|1100,2000|2|3|2|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|pudong|龙岩|2|1|2|1100,2000|2|3|2|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|pudong|龙岩|2|1|2|1100,2000|2|3|2|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|pudong|龙岩|2|1|2|1100,2000|2|3|2|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|pudong|龙岩|2|1|2|1100,2000|2|3|2|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|jignan|龙岩|2|1|2|1100,2000|2|3|2|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|pudong|龙岩|2|1|2|1100,2000|2|3|2|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|pudong|龙岩|2|1|2|1100,2000|2|3|2|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|huangpu|龙岩|2|1|2|1100,2000|2|3|2|1|1|1|1|龙阳路|1|2016-06-21
1|15802100551|pudong|龙岩|2|1|2|1100,2000|1|1|2|2|1|1|1|龙阳路|1|2016-06-29

hadoop|renter-pc@search|||||[2]|1,|2|[4]||南|1|1|1|["这不是乱码","啊","测试数据"]|0|2016-06-25
